,vfr,0.00,0.05,0.10,0.30,0.60
154,0.955,1.02388555086e-07,4.511490424e-08,5.31778395554e-08,5.43161246023e-08,4.88874383112e-08
155,0.956,1.00113253861e-07,4.34623543046e-08,5.1482703017e-08,5.25724671342e-08,4.74148240756e-08
156,0.957,9.78379526372e-08,4.18113857103e-08,4.98011902152e-08,5.08309821464e-08,4.59422098399e-08
157,0.958,9.5562651413e-08,4.01621001856e-08,4.81239301423e-08,4.91261034773e-08,4.44695956042e-08
158,0.959,9.32873501889e-08,3.85144395211e-08,4.64412952741e-08,4.73897954182e-08,4.29969813685e-08
159,0.96,9.10120489648e-08,3.6868355787e-08,4.47722194647e-08,4.56572291137e-08,4.15243671328e-08
160,0.961,8.87367477408e-08,3.5224002473e-08,4.31075200887e-08,4.39567263943e-08,4.01590091234e-08
161,0.962,8.64614465168e-08,3.35812437821e-08,4.14401731895e-08,4.22626032437e-08,3.86838319659e-08
162,0.963,8.41861452926e-08,3.19400799904e-08,3.97808163056e-08,4.05519746391e-08,3.72086548084e-08
163,0.964,8.19108440684e-08,3.03006842634e-08,3.81222554991e-08,3.8840065114e-08,3.57334776509e-08
164,0.965,7.96355428443e-08,2.86626187362e-08,3.64752864896e-08,3.71554551159e-08,3.42583004933e-08
165,0.966,7.73602416202e-08,2.70265145997e-08,3.48254048517e-08,3.54602261366e-08,3.27831233359e-08
166,0.967,7.50849403961e-08,2.53915305916e-08,3.31871001495e-08,3.37756229066e-08,3.13079461784e-08
167,0.968,7.2809639172e-08,2.37586811355e-08,3.15466066446e-08,3.21255786531e-08,2.98327690209e-08
168,0.969,7.05343379478e-08,2.21266960151e-08,2.99108188372e-08,3.04648206129e-08,2.83575918634e-08
169,0.97,6.82590367237e-08,2.04970503402e-08,2.82854302565e-08,2.88179210732e-08,2.6949181272e-08
170,0.971,6.59837354996e-08,1.8867968446e-08,2.66624877956e-08,2.71971055766e-08,2.54740845709e-08
171,0.972,6.37084342755e-08,1.7241003904e-08,2.5046136172e-08,2.55825711896e-08,2.39989878698e-08
172,0.973,6.14331330512e-08,1.56151796989e-08,2.34282955243e-08,2.40190121924e-08,2.25238911687e-08
173,0.974,5.91578318272e-08,1.39902478385e-08,2.1816853163e-08,2.24442891544e-08,2.10487944676e-08
174,0.975,5.68825306029e-08,1.23672083676e-08,2.0209247867e-08,2.09088796033e-08,1.95987478029e-08
175,0.976,5.4607229379e-08,1.08722311636e-08,1.86196286228e-08,1.93828493563e-08,1.81219612575e-08
176,0.977,5.23319281549e-08,9.31216651043e-09,1.70234041578e-08,1.79125900615e-08,1.66451747121e-08
177,0.978,5.00566269308e-08,7.74283432688e-09,1.54326718875e-08,1.64461134424e-08,1.52756285265e-08
178,0.979,4.77813257065e-08,6.16581947357e-09,1.38528336766e-08,1.50122447469e-08,1.379720356e-08
179,0.98,4.55060244825e-08,4.58518145955e-09,1.22704424642e-08,1.36132271861e-08,1.23708069213e-08
180,0.981,4.32307232584e-08,3.00359223126e-09,1.0687782675e-08,1.22600189784e-08,1.09528944538e-08
181,0.982,4.09554220341e-08,1.42026573763e-09,9.10847224755e-09,1.09459791043e-08,9.47450513898e-09
182,0.983,3.86801208101e-08,-1.69988723538e-10,7.53333255701e-09,9.68864749125e-09,7.99939587505e-09
183,0.984,3.64048195859e-08,-1.75876171598e-09,5.96370244628e-09,8.47367584979e-09,6.52746595049e-09
184,0.985,3.41295183619e-08,-3.35198743993e-09,4.39151514085e-09,7.3256921614e-09,5.10599109631e-09
185,0.986,3.18542171378e-08,-4.94410893111e-09,2.81714392894e-09,6.22344433941e-09,3.65347005778e-09
186,0.987,2.95789159135e-08,-6.53583378504e-09,1.24485764022e-09,5.19588623136e-09,2.21743550719e-09
187,0.988,2.73036146895e-08,-8.13250440733e-09,-3.29949682377e-10,4.2370691757e-09,8.12033278463e-10
188,0.989,2.50283134654e-08,-9.7353821188e-09,-1.89597842565e-09,3.34663233741e-09,-5.65878640299e-10
189,0.99,2.27530122412e-08,-1.13332955146e-08,-3.47594089839e-09,2.53904758823e-09,-1.90885683967e-09
190,0.991,2.0477711017e-08,-1.29376411039e-08,-5.05417882843e-09,1.82272654207e-09,-3.13333721296e-09
191,0.992,1.8202409793e-08,-1.45432699287e-08,-6.64191054987e-09,1.19208106395e-09,-4.34419196345e-09
192,0.993,1.59271085688e-08,-1.61511580163e-08,-8.2299119453e-09,6.51603185498e-10,-5.47822134405e-09
193,0.994,1.36518073446e-08,-1.77673663586e-08,-9.83061965553e-09,1.9897540516e-10,-6.51550333209e-09
194,0.995,1.13765061206e-08,-1.93806885772e-08,-1.14355481456e-08,-1.7389704571e-10,-7.43000353012e-09
195,0.996,9.10120489649e-09,-2.10038071012e-08,-1.30493389528e-08,-4.81797265163e-10,-8.19426427754e-09
196,0.997,6.82590367229e-09,-2.26189742206e-08,-1.46805317134e-08,-7.50516253132e-10,-8.77604674958e-09
197,0.998,4.5506024484e-09,-2.42246827815e-08,-1.63356890705e-08,-1.0280432414e-09,-9.09311917792e-09
198,0.999,2.27530122377e-09,-2.58443790954e-08,-1.80136216829e-08,-1.43436855899e-09,-9.08194155973e-09
199,1.0,0.0,-2.74823861212e-08,-1.97376269766e-08,-2.31185066539e-09,-8.48948331634e-09
