,vfr,v imp [km s-1],ang imp [pi rad]
184,5.68341708543,585.19976367,-0.26524208265
185,5.70452261307,583.077093108,-0.244383282876
186,5.7256281407,582.546278812,-0.24657742325
187,5.74673366834,581.905140749,-0.24871268201
188,5.76783919598,581.15614664,-0.250787964036
189,5.78894472362,580.301928144,-0.252802316676
190,5.81005025126,579.345262078,-0.254754928712
191,5.83115577889,581.053686615,-0.236488514363
192,5.85226130653,581.525158826,-0.239208712924
193,5.87336683417,581.880677597,-0.241885413906
194,5.89447236181,582.120728364,-0.244516437889
195,5.91557788945,582.246064796,-0.24709971239
196,5.93668341709,582.257698635,-0.24963327862
197,5.95778894472,576.701041877,-0.225717219915
198,5.97889447236,578.228365367,-0.228920665066
199,6.0,579.646946432,-0.232103827426
