,vfr,0.00,0.05,0.10,0.30,0.60
41,0.8412,-1027.5119787,-1015.50963415,-1070.92861169,-757.095048014,-865.359974965
42,0.8422,-1027.68451517,-1016.68318152,-1072.30632813,-756.481193785,-867.404339224
43,0.8432,-1027.85595616,-1017.86917241,-1073.68314767,-757.660287254,-869.490117684
44,0.8442,-1028.02630169,-1019.06708983,-1075.05877998,-757.156140925,-871.408129043
45,0.8452,-1028.19555174,-1020.27639958,-1076.43293018,-756.536183366,-873.76603244
46,0.8462,-1028.36370633,-1021.49655013,-1077.80529894,-755.914191363,-875.709939898
47,0.8472,-1028.53076545,-1022.7269725,-1079.17558248,-755.290164917,-878.190286913
48,0.8482,-1028.6967291,-1023.96708022,-1080.54347268,-756.581460974,-880.137216366
49,0.8492,-1028.86159728,-1025.21626927,-1081.9086571,-755.95336564,-882.303475805
50,0.8503,-1029.02536998,-1026.18780367,-1083.27081906,-755.323235863,-884.626827136
51,0.8513,-1029.18804722,-1027.45143256,-1084.62963771,-754.691071642,-886.997329622
52,0.8523,-1029.34962899,-1028.7223934,-1085.98478813,-755.029182887,-889.03210636
53,0.8533,-1029.51011529,-1030.00001439,-1087.33594137,-755.346653049,-891.331079676
54,0.8543,-1029.66950612,-1030.9913747,-1088.68276458,-754.708385498,-893.252752964
55,0.8553,-1029.82780148,-1032.27903546,-1090.02492107,-754.068083503,-895.768681593
56,0.8563,-1027.78840723,-1033.57141972,-1091.36207045,-753.425747064,-897.871510613
57,0.8573,-1027.94451166,-1034.86779298,-1092.69386868,-754.71610436,-900.228274417
58,0.8583,-1028.09952061,-1035.87158065,-1094.01996824,-754.069699034,-902.382518035
59,0.8593,-1028.25343409,-1037.17317884,-1095.3400182,-753.421259264,-904.405247273
60,0.8603,-1028.4062521,-1038.47666111,-1096.65366439,-752.770785051,-906.678045744
61,0.8613,-1028.55797465,-1039.48446598,-1097.96054948,-753.323369194,-908.978317862
62,0.8623,-1028.70860172,-1040.78938252,-1099.26031313,-753.407235751,-911.189959524
63,0.8633,-1028.85813332,-1042.09395737,-1100.55259218,-752.750658207,-913.376214835
64,0.8643,-1029.00656946,-1043.3973531,-1101.8370207,-752.09204622,-915.83660881
65,0.8653,-1029.15391012,-1044.40319873,-1103.11323024,-751.500136679,-917.926738421
66,0.8663,-1029.30015532,-1045.70253107,-1104.38084994,-752.721055464,-920.169603049
67,0.8673,-1029.44530504,-1046.99830831,-1106.19931873,-752.056340145,-922.464791735
68,0.8683,-1029.5893593,-1048.28964251,-1107.44382287,-751.389590384,-924.725550213
69,0.8693,-1029.73231808,-1049.28440177,-1108.67842944,-750.72080618,-926.953429789
70,0.8704,-1029.8741814,-1050.56583881,-1109.90275908,-752.01121856,-929.483515691
71,0.8714,-1030.01494924,-1051.84032927,-1111.11643103,-751.338365468,-931.693365074
72,0.8724,-1030.15462162,-1053.10694421,-1112.84981148,-750.663477932,-933.963295132
73,0.8734,-1030.29319853,-1054.36474576,-1114.03520148,-749.986555952,-936.271806915
74,0.8744,-1030.43067997,-1055.61278807,-1115.72414488,-750.914760863,-938.291658242
75,0.8754,-1030.56706593,-1056.85011821,-1116.87889269,-750.596795075,-940.742870132
76,0.8764,-1030.70235643,-1058.0757772,-1118.02069634,-749.913769765,-942.810889576
77,0.8774,-1030.83655146,-1059.28880107,-1119.64165036,-749.228710012,-945.145276105
78,0.8784,-1030.96965102,-1060.48822195,-1120.7494981,-749.664729535,-947.414534092
79,0.8794,-1031.10165511,-1061.67306923,-1122.31763482,-749.831690467,-949.938661571
80,0.8804,-1031.23256373,-1062.84237072,-1123.85235477,-749.140527382,-951.823595546
81,0.8814,-1031.36237688,-1064.25056852,-1124.90104357,-748.447329854,-954.339807295
82,0.8824,-1031.49109456,-1065.38133827,-1126.37745468,-748.568686525,-956.129842896
83,0.8834,-1031.61871677,-1066.73824485,-1127.81721114,-749.043113665,-958.608562606
84,0.8844,-1031.74524351,-1067.82560923,-1129.2191276,-748.343812806,-960.522582247
85,0.8854,-1029.68332946,-1069.1251948,-1130.58203446,-747.642477505,-962.829695304
86,0.8864,-1029.80766527,-1070.39034745,-1131.90477985,-747.578896733,-964.996064871
87,0.8874,-1029.9309056,-1071.61926868,-1133.55902289,-748.231127303,-967.22964482
88,0.8884,-1030.05305046,-1073.01938919,-1134.78370937,-747.52368867,-969.367645177
89,0.8894,-1030.17409986,-1074.16241511,-1133.5565111,-746.814215593,-971.571960327
90,0.8905,-1030.29405378,-1075.45446481,-1135.01312533,-746.835315228,-973.82595398
91,0.8915,-1030.41291223,-1076.68353905,-1136.38777979,-747.39579456,-976.000051005
92,0.8925,-1030.53067522,-1078.01396362,-1137.67825918,-746.680218152,-978.231426534
