,vfr,1.30,1.80,2.20
186,0.9869,-1290.01488831,-931.67742072,-762.281526579
187,0.9879,-1289.70267947,-931.451936556,-762.097039535
188,0.9889,-1289.38861676,-931.225113485,-761.911457022
189,0.9899,-1289.07270017,-930.996951506,-761.72477904
190,0.991,-1288.75492971,-930.76745062,-761.537005587
191,0.992,-1288.43530538,-930.536610826,-761.348136666
192,0.993,-1288.11382718,-930.304432126,-761.158172274
193,0.994,-1287.79049511,-930.070914517,-760.967112413
194,0.995,-1287.46530917,-929.836058002,-760.774957082
195,0.996,-1287.13826935,-929.599862579,-760.581706282
196,0.997,-1286.80937566,-929.362328249,-760.387360012
197,0.998,-1286.4786281,-929.123455012,-760.191918272
198,0.999,-1288.94634243,-930.905693145,-761.650113108
199,1.0,-1288.61188713,-930.664142093,-761.452480429
