,t,x,y,vx,vy,t [min],x [RSun],y [RSun],vx [km s-1],vy [km s-1]
1057,0.631266089799,-0.837565471263,-0.0945758219487,-1.23686581341,-1.21558285356,52801.0,-234.201889841,-26.4454982848,-47.9303292985,-47.9303292985
1058,0.631863868335,-0.838304670434,-0.095301799044,-1.23627893676,-1.21328823174,52851.0,-234.408586331,-26.6484975888,-47.9075869842,-47.9075869842
1059,0.632461646871,-0.839043523242,-0.0960264051858,-1.23570724954,-1.21099607855,52901.0,-234.61518597,-26.8511135438,-47.8854332821,-47.8854332821
1060,0.633059425408,-0.839782038715,-0.096749641855,-1.23515058535,-1.2087064117,52951.0,-234.821691283,-27.0533465638,-47.863861744,-47.863861744
1061,0.633657203944,-0.840520225787,-0.097471510543,-1.2346087798,-1.20641924797,53001.0,-235.028104767,-27.2551970659,-47.8428659998,-47.8428659998
1062,0.63425498248,-0.841258093292,-0.0981920127506,-1.23408167052,-1.2041346033,53051.0,-235.234428894,-27.4566654698,-47.822439757,-47.822439757
1063,0.634852761016,-0.841995649968,-0.0989111499882,-1.23356909709,-1.20185249277,53101.0,-235.440666105,-27.6577521978,-47.8025767995,-47.8025767995
1064,0.635450539552,-0.842732904458,-0.0996289237749,-1.23307090105,-1.19957293063,53151.0,-235.646818819,-27.8584576747,-47.7832709863,-47.7832709863
1065,0.636048318089,-0.84346986531,-0.100345335638,-1.23258692585,-1.19729593034,53201.0,-235.852889425,-28.0587823275,-47.764516251,-47.764516251
1066,0.636646096625,-0.84420654098,-0.101060387113,-1.23211701682,-1.19502150455,53251.0,-236.058880288,-28.2587265856,-47.7463066003,-47.7463066003
1067,0.637243875161,-0.844942939831,-0.101774079742,-1.23166102118,-1.19274966519,53301.0,-236.264793746,-28.4582908801,-47.7286361132,-47.7286361132
1068,0.637841653697,-0.845679070137,-0.102486415074,-1.23121878797,-1.19048042343,53351.0,-236.470632113,-28.6574756445,-47.7114989404,-47.7114989404
1069,0.638439432233,-0.84641494008,-0.103197394666,-1.23079016806,-1.18821378972,53401.0,-236.676397677,-28.8562813137,-47.6948893025,-47.6948893025
1070,0.63903721077,-0.847150557755,-0.103907020079,-1.23037501412,-1.18594977382,53451.0,-236.882092701,-29.0547083245,-47.67880149,-47.67880149
1071,0.639634989306,-0.847885931168,-0.104615292881,-1.22997318056,-1.1836883848,53501.0,-237.087719424,-29.2527571153,-47.6632298617,-47.6632298617
1072,0.640232767842,-0.848621068241,-0.105322214644,-1.22958452356,-1.18142963109,53551.0,-237.293280061,-29.4504281257,-47.648168844,-47.648168844
1073,0.640830546378,-0.849355976808,-0.106027786947,-1.22920890102,-1.17917352045,53601.0,-237.498776802,-29.647721797,-47.6336129301,-47.6336129301
1074,0.641428324914,-0.85009066462,-0.106732011372,-1.22884617251,-1.17692006003,53651.0,-237.704211816,-29.8446385715,-47.6195566788,-47.6195566788
1075,0.642026103451,-0.850825139343,-0.107434889504,-1.22849619932,-1.17466925637,53701.0,-237.909587245,-30.0411788929,-47.6059947141,-47.6059947141
1076,0.642623881987,-0.851559408563,-0.108136422933,-1.22815884435,-1.17242111543,53751.0,-238.114905211,-30.2373432055,-47.5929217239,-47.5929217239
1077,0.643221660523,-0.852293479782,-0.108836613254,-1.22783397216,-1.17017564258,53801.0,-238.320167812,-30.4331319551,-47.5803324591,-47.5803324591
1078,0.643819439059,-0.853027360423,-0.109535462061,-1.22752144889,-1.16793284263,53851.0,-238.525377122,-30.6285455879,-47.5682217332,-47.5682217332
1079,0.644417217595,-0.85376105783,-0.110232970955,-1.22722114231,-1.16569271986,53901.0,-238.730535197,-30.8235845511,-47.5565844211,-47.5565844211
1080,0.645014996132,-0.854494579266,-0.110929141537,-1.22693292171,-1.16345527803,53951.0,-238.935644066,-31.0182492926,-47.5454154584,-47.5454154584
1081,0.645612774668,-0.855227931919,-0.11162397541,-1.22665665796,-1.16122052036,54001.0,-239.140705739,-31.2125402606,-47.5347098405,-47.5347098405
1082,0.646210553204,-0.855961122899,-0.11231747418,-1.22639222342,-1.15898844959,54051.0,-239.345722205,-31.4064579042,-47.524462622,-47.524462622
1083,0.64680833174,-0.856694159239,-0.113009639454,-1.22613949199,-1.15675906798,54101.0,-239.550695431,-31.6000026725,-47.5146689155,-47.5146689155
1084,0.647406110276,-0.8574270479,-0.113700472839,-1.22589833903,-1.15453237732,54151.0,-239.755627362,-31.7931750154,-47.5053238913,-47.5053238913
1085,0.648003888813,-0.858159795766,-0.114389975944,-1.22566864137,-1.15230837892,54201.0,-239.960519924,-31.9859753826,-47.4964227765,-47.4964227765
1086,0.648601667349,-0.85889240965,-0.11507815038,-1.22545027727,-1.15008707367,54251.0,-240.165375021,-32.1784042242,-47.4879608539,-47.4879608539
1087,0.649199445885,-0.85962489629,-0.115764997757,-1.22524312646,-1.14786846203,54301.0,-240.370194538,-32.3704619906,-47.4799334617,-47.4799334617
1088,0.649797224421,-0.860357262356,-0.116450519684,-1.22504707001,-1.14565254402,54351.0,-240.57498034,-32.5621491319,-47.4723359926,-47.4723359926
1089,0.650395002957,-0.861089514445,-0.117134717772,-1.22486199044,-1.14343931928,54401.0,-240.779734272,-32.7534660984,-47.4651638929,-47.4651638929
1090,0.650992781494,-0.861821659084,-0.11781759363,-1.22468777159,-1.14122878704,54451.0,-240.984458158,-32.9444133401,-47.458412662,-47.458412662
1091,0.65159056003,-0.862553702732,-0.118499148868,-1.22452429868,-1.13902094615,54501.0,-241.189153804,-33.1349913071,-47.4520778517,-47.4520778517
1092,0.652188338566,-0.86328565178,-0.119179385094,-1.22437145826,-1.13681579509,54551.0,-241.393822999,-33.3252004491,-47.4461550653,-47.4461550653
1093,0.652786117102,-0.864017512549,-0.119858303915,-1.22422913817,-1.13461333196,54601.0,-241.598467509,-33.5150412156,-47.4406399573,-47.4406399573
1094,0.653383895638,-0.864749291298,-0.120535906938,-1.22409722758,-1.13241355455,54651.0,-241.803089084,-33.7045140556,-47.4355282322,-47.4355282322
1095,0.653981674175,-0.865480994215,-0.121212195767,-1.22397561692,-1.13021646027,54701.0,-242.007689454,-33.8936194179,-47.4308156441,-47.4308156441
1096,0.654579452711,-0.866212627427,-0.121887172006,-1.22386419788,-1.12802204622,54751.0,-242.212270334,-34.0823577508,-47.4264979962,-47.4264979962
1097,0.655177231247,-0.866944196994,-0.122560837256,-1.22376286342,-1.12583030918,54801.0,-242.416833417,-34.2707295019,-47.4225711401,-47.4225711401
1098,0.655775009783,-0.867675708914,-0.123233193115,-1.22367150771,-1.12364124561,54851.0,-242.621380381,-34.4587351186,-47.4190309746,-47.4190309746
1099,0.656372788319,-0.868407169121,-0.123904241181,-1.22359002612,-1.12145485167,54901.0,-242.825912885,-34.6463750473,-47.4158734461,-47.4158734461
1100,0.656970566855,-0.869138583487,-0.124573983049,-1.22351831526,-1.11927112325,54951.0,-243.03043257,-34.8336497339,-47.4130945469,-47.4130945469
1101,0.657568345392,-0.869869957822,-0.125242420311,-1.22345627288,-1.11709005592,55001.0,-243.234941062,-35.0205596237,-47.4106903155,-47.4106903155
1102,0.658166123928,-0.870601297878,-0.125909554555,-1.22340379792,-1.11491164501,55051.0,-243.439439969,-35.207105161,-47.4086568353,-47.4086568353
1103,0.658763902464,-0.871332609343,-0.12657538737,-1.22336079046,-1.11273588555,55101.0,-243.643930881,-35.3932867895,-47.4069902344,-47.4069902344
1104,0.659361681,-0.872063897848,-0.127239920337,-1.22332715172,-1.11056277235,55151.0,-243.848415373,-35.579104952,-47.4056866848,-47.4056866848
1105,0.659959459536,-0.872795168966,-0.127903155038,-1.22330278404,-1.10839229994,55201.0,-244.052895003,-35.7645600903,-47.4047424023,-47.4047424023
1106,0.660557238073,-0.873526428208,-0.128565093049,-1.22328759087,-1.10622446262,55251.0,-244.257371313,-35.9496526454,-47.404153645,-47.404153645
1107,0.661155016609,-0.874257681033,-0.129225735944,-1.22328147674,-1.10405925445,55301.0,-244.461845828,-36.1343830573,-47.4039167138,-47.4039167138
1108,0.661752795145,-0.874988932839,-0.129885085292,-1.22328434727,-1.10189666927,55351.0,-244.666320058,-36.318751765,-47.404027951,-47.404027951
1109,0.662350573681,-0.875720188971,-0.130543142661,-1.22329610914,-1.09973670071,55401.0,-244.870795497,-36.5027592062,-47.4044837402,-47.4044837402
1110,0.662948352217,-0.876451454715,-0.131199909611,-1.22331667007,-1.09757934216,55451.0,-245.075273625,-36.686405818,-47.4052805058,-47.4052805058
