,t,x,y,vx,vy,t [min],x [RSun],y [RSun],vx [km s-1],vy [km s-1]
296,0.17635662375,-0.279786314274,-0.0264512671095,-1.07018748708,-0.00370515674715,14751.0,-78.2344614277,-7.39636119003,-41.4713044137,-41.4713044137
297,0.176954402286,-0.280427388975,-0.0264530068004,-1.07476348506,-0.00208151249504,14801.0,-78.4137201384,-7.3968476462,-41.6486309172,-41.6486309172
298,0.177552180823,-0.281071203663,-0.0264537734852,-1.07935506714,-0.000449576784734,14851.0,-78.5937450105,-7.39706202828,-41.8265613272,-41.8265613272
299,0.178149959359,-0.281717767716,-0.0264535621943,-1.08396243648,0.0011906953094,14901.0,-78.7745386656,-7.39700294664,-42.005103516,-42.005103516
300,0.178747737895,-0.282367090629,-0.026452367931,-1.08858579953,0.00283934930085,14951.0,-78.9561037594,-7.39666900413,-42.1842654842,-42.1842654842
301,0.179345516431,-0.283019182025,-0.0264501856714,-1.09322536615,0.00449643130097,15001.0,-79.1384429825,-7.39605879593,-42.364055364,-42.364055364
302,0.179943294967,-0.283674051652,-0.0264470103638,-1.09788134965,0.00616198802922,15051.0,-79.3215590606,-7.39517090946,-42.5444814216,-42.5444814216
303,0.180541073504,-0.284331709388,-0.0264428369282,-1.10255396689,0.00783606682357,15101.0,-79.5054547558,-7.39400392428,-42.7255520603,-42.7255520603
304,0.18113885204,-0.284992165239,-0.0264376602565,-1.10724343832,0.0095187156512,15151.0,-79.6901328662,-7.392556412,-42.9072758233,-42.9072758233
305,0.181736630576,-0.285655429348,-0.0264314752113,-1.1119499881,0.0112099831194,15201.0,-79.8755962275,-7.39082693613,-43.0896613967,-43.0896613967
306,0.182334409112,-0.286321511988,-0.0264242766262,-1.11667384414,0.0129099184867,15251.0,-80.0618477129,-7.38881405203,-43.2727176128,-43.2727176128
307,0.182932187648,-0.286990423574,-0.0264160593053,-1.12141523821,0.0146185716742,15301.0,-80.2488902342,-7.38651630676,-43.4564534528,-43.4564534528
308,0.183529966185,-0.287662174657,-0.0264068180223,-1.12617440602,0.0163359932773,15351.0,-80.4367267421,-7.38393223899,-43.6408780508,-43.6408780508
309,0.184127744721,-0.288336775933,-0.0263965475207,-1.1309515873,0.0180622345775,15401.0,-80.6253602271,-7.38106037886,-43.8260006964,-43.8260006964
310,0.184725523257,-0.289014238241,-0.0263852425131,-1.13574702587,0.0197973475547,15451.0,-80.8147937202,-7.3778992479,-44.0118308385,-44.0118308385
311,0.185323301793,-0.289694572568,-0.0263728976808,-1.14056096978,0.0215413848993,15501.0,-81.0050302932,-7.37444735888,-44.1983780889,-44.1983780889
312,0.185921080329,-0.290377790048,-0.0263595076734,-1.14539367135,0.0232944000253,15551.0,-81.1960730601,-7.37070321571,-44.3856522259,-44.3856522259
313,0.186518858866,-0.29106390197,-0.0263450671084,-1.15024538731,0.0250564470831,15601.0,-81.3879251772,-7.36666531331,-44.5736631978,-44.5736631978
314,0.187116637402,-0.291752919777,-0.0263295705705,-1.15511637887,0.0268275809725,15651.0,-81.580589844,-7.36233213749,-44.7624211269,-44.7624211269
315,0.187714415938,-0.292444855069,-0.0263130126117,-1.16000691183,0.0286078573568,15701.0,-81.7740703044,-7.35770216481,-44.9519363135,-44.9519363135
316,0.188312194474,-0.293139719606,-0.0262953877502,-1.1649172567,0.0303973326764,15751.0,-81.9683698466,-7.35277386247,-45.1422192398,-45.1422192398
317,0.18890997301,-0.293837525311,-0.0262766904704,-1.16984768877,0.0321960641629,15801.0,-82.163491805,-7.34754568818,-45.3332805743,-45.3332805743
318,0.189507751547,-0.294538284275,-0.0262569152222,-1.17479848827,0.0340041098539,15851.0,-82.3594395598,-7.34201609001,-45.5251311758,-45.5251311758
319,0.190105530083,-0.295242008755,-0.0262360564206,-1.17976994044,0.0358215286076,15901.0,-82.5562165389,-7.33618350626,-45.717782098,-45.717782098
320,0.190703308619,-0.295948711183,-0.0262141084451,-1.18476233567,0.0376483801181,15951.0,-82.7538262182,-7.33004636532,-45.9112445939,-45.9112445939
321,0.191301087155,-0.296658404164,-0.0261910656393,-1.18977596962,0.039484724931,16001.0,-82.9522721224,-7.32360308553,-46.1055301207,-46.1055301207
322,0.191898865691,-0.297371100481,-0.0261669223103,-1.19481114333,0.0413306244592,16051.0,-83.1515578263,-7.31685207507,-46.3006503441,-46.3006503441
323,0.192496644228,-0.298086813101,-0.0261416727285,-1.19986816336,0.0431861409995,16101.0,-83.3516869552,-7.30979173174,-46.496617144,-46.496617144
324,0.193094422764,-0.298805555174,-0.0261153111264,-1.20494734192,0.0450513377487,16151.0,-83.5526631863,-7.30242044289,-46.6934426187,-46.6934426187
325,0.1936922013,-0.299527340039,-0.0260878316987,-1.210048997,0.0469262788213,16201.0,-83.7544902495,-7.29473658519,-46.891139091,-46.891139091
326,0.194289979836,-0.300252181225,-0.0260592286015,-1.21517345251,0.0488110292664,16251.0,-83.9571719282,-7.28673852455,-47.0897191128,-47.0897191128
327,0.194887758372,-0.30098009246,-0.0260294959516,-1.22032103843,0.0507056550859,16301.0,-84.1607120605,-7.27842461593,-47.2891954712,-47.2891954712
328,0.195485536909,-0.301711087667,-0.0259986278262,-1.22549209095,0.0526102232529,16351.0,-84.36511454,-7.26979320316,-47.4895811939,-47.4895811939
329,0.196083315445,-0.302445180976,-0.0259666182621,-1.23068695262,0.05452480173,16401.0,-84.5703833173,-7.26084261881,-47.6908895555,-47.6908895555
330,0.196681093981,-0.30318238672,-0.0259334612552,-1.2359059725,0.0564494594891,16451.0,-84.7765224007,-7.25157118399,-47.8931340827,-47.8931340827
331,0.197278872517,-0.303922719445,-0.0258991507599,-1.24114950636,0.0583842665306,16501.0,-84.9835358572,-7.24197720821,-48.0963285617,-48.0963285617
332,0.197876651053,-0.30466619391,-0.0258636806884,-1.24641791679,0.0603292939035,16551.0,-85.191427814,-7.23205898919,-48.3004870437,-48.3004870437
333,0.19847442959,-0.305412825094,-0.0258270449101,-1.25171157341,0.0622846137265,16601.0,-85.4002024595,-7.22181481269,-48.5056238519,-48.5056238519
334,0.199072208126,-0.306162628199,-0.025789237251,-1.25703085304,0.0642502992087,16651.0,-85.6098640444,-7.21124295233,-48.7117535884,-48.7117535884
335,0.199669986662,-0.306915618654,-0.0257502514931,-1.26237613987,0.0662264246712,16701.0,-85.820416883,-7.20034166939,-48.9188911411,-48.9188911411
336,0.200267765198,-0.307671812119,-0.0257100813735,-1.26774782564,0.0682130655699,16751.0,-86.0318653544,-7.18910921265,-49.1270516911,-49.1270516911
337,0.200865543734,-0.308431224492,-0.0256687205839,-1.27314630988,0.0702102985173,16801.0,-86.2442139039,-7.17754381815,-49.3362507201,-49.3362507201
338,0.201463322271,-0.309193871911,-0.0256261627699,-1.27857200005,0.0722182013067,16851.0,-86.4574670441,-7.16564370908,-49.5465040182,-49.5465040182
339,0.202061100807,-0.309959770761,-0.0255824015302,-1.28402531179,0.0742368529355,16901.0,-86.6716293566,-7.15340709548,-49.7578276919,-49.7578276919
340,0.202658879343,-0.310728937678,-0.025537430416,-1.28950666911,0.0762663336299,16951.0,-86.8867054929,-7.14083217411,-49.9702381722,-49.9702381722
341,0.203256657879,-0.311501389552,-0.02549124293,-1.29501650463,0.0783067248699,17001.0,-87.1027001763,-7.12791712822,-50.1837522234,-50.1837522234
342,0.203854436415,-0.312277143537,-0.0254438325261,-1.30055525976,0.0803581094152,17051.0,-87.3196182029,-7.11466012732,-50.3983869515,-50.3983869515
343,0.204452214952,-0.31305621705,-0.025395192608,-1.30612338501,0.0824205713314,17101.0,-87.5374644435,-7.10105932699,-50.6141598137,-50.6141598137
344,0.205049993488,-0.313838627783,-0.025345316529,-1.31172134015,0.0844941960171,17151.0,-87.7562438448,-7.08711286865,-50.8310886273,-50.8310886273
345,0.205647772024,-0.314624393706,-0.0252941975909,-1.31734959454,0.0865790702319,17201.0,-87.9759614315,-7.07281887933,-51.0491915799,-51.0491915799
346,0.20624555056,-0.315413533069,-0.0252418290433,-1.3230086273,0.0886752821245,17251.0,-88.196622307,-7.05817547145,-51.268487239,-51.268487239
347,0.206843329096,-0.316206064415,-0.0251882040825,-1.32869892766,0.0907829212621,17301.0,-88.4182316561,-7.04318074258,-51.4889945624,-51.4889945624
348,0.207441107633,-0.31700200658,-0.0251333158511,-1.33442099518,0.0929020786603,17351.0,-88.6407947459,-7.02783277518,-51.7107329091,-51.7107329091
349,0.208038886169,-0.317801378702,-0.0250771574365,-1.34017534006,0.0950328468138,17401.0,-88.8643169281,-7.01212963641,-51.9337220501,-51.9337220501
350,0.208636664705,-0.31860420023,-0.0250197218707,-1.34596248344,0.0971753197283,17451.0,-89.0888036403,-6.99606937783,-52.15798218,-52.15798218
