,a,0.80,0.85,0.90,0.95
164,2.1343,-875.072812247,-917.353039188,-794.544400066,-788.567578193
165,2.1397,-872.930098035,-915.063974886,-792.537580985,-786.564000146
166,2.1452,-870.797851554,-912.786305921,-790.540873803,-784.570577598
167,2.1506,-868.675996276,-910.519947411,-788.554202279,-782.587233539
168,2.156,-866.107226202,-907.731746944,-786.577490954,-780.613891735
169,2.1615,-864.00703545,-905.489075073,-784.610665107,-778.650476697
170,2.1669,-861.917005416,-903.257457529,-782.653650759,-776.696913719
171,2.1723,-859.837062523,-901.03681278,-780.706374691,-774.753128837
172,2.1778,-857.31563934,-898.827060095,-778.768764387,-772.819048808
173,2.1832,-855.256737192,-896.101006545,-776.84074806,-770.894601141
174,2.1887,-853.207700549,-893.914085359,-774.922254621,-768.97971406
175,2.1941,-851.168458655,-891.737812484,-773.013213705,-767.074316485
176,2.1995,-849.138941464,-889.572110337,-771.113555617,-765.178338063
177,2.205,-846.67428323,-887.416902087,-769.223211345,-763.29170911
178,2.2104,-844.665063427,-884.75083898,-767.342112575,-761.414360645
179,2.2158,-842.665357098,-882.617647816,-765.470191635,-759.546224365
180,2.2213,-840.675096834,-880.494718433,-763.607381523,-757.687232618
181,2.2267,-838.694215863,-878.381976962,-761.753615877,-755.83731843
182,2.2321,-836.284403692,-876.279350241,-759.908829001,-753.996415479
183,2.2376,-834.323111276,-873.671222358,-758.072955812,-752.164458071
184,2.243,-832.370996761,-871.589836638,-756.245931855,-750.341381165
185,2.2485,-830.427995883,-869.518344504,-754.427693315,-748.527120352
186,2.2539,-828.494044953,-867.456675571,-752.618176969,-746.721611822
187,2.2593,-826.137247236,-865.404760149,-750.817320206,-744.924792402
188,2.2648,-824.222208578,-862.852607624,-749.025061006,-743.136599523
189,2.2702,-822.316027751,-860.82119321,-747.24133796,-741.356971196
190,2.2756,-820.418643438,-858.799321459,-745.466090222,-739.585846046
191,2.2811,-818.52999489,-856.78692527,-743.699257523,-737.82316328
192,2.2865,-816.224462346,-854.783938197,-741.940780185,-736.068862667
193,2.2919,-814.354080476,-852.790294403,-740.190599072,-734.322884564
194,2.2974,-812.492250984,-850.302698969,-738.448655605,-732.585169895
195,2.3028,-810.638915346,-848.328714923,-736.714891775,-730.855660121
196,2.3083,-808.794015568,-846.363874886,-734.989250097,-729.134297273
197,2.3137,-806.538076656,-844.408115478,-733.271673629,-727.42102393
198,2.3191,-804.710826935,-842.461373876,-731.562105956,-725.715783187
199,2.3246,-802.891837937,-840.025750031,-729.860491204,-724.018518698
