,t [yr],m acc [MSun],dm acc [MSun],m don [MSun],dm don [MSun],a [AU]
79,132.690159636,1.00013269016,2.79399844978e-09,1.19986730984,2.77301715404e-09,0.02567246951
80,132.71697126,1.00013271697,2.59113544035e-09,1.19986728303,2.57167752754e-09,0.0244142628425
81,132.74183618,1.00013274184,2.40300164711e-09,1.19986725816,2.38495650936e-09,0.0232177208466
82,132.764895741,1.0001327649,2.22852762975e-09,1.1998672351,2.21179269008e-09,0.022079821337
83,132.786281023,1.00013278628,2.0667215966e-09,1.19986721372,2.05120172581e-09,0.0209976902456
84,132.80611359,1.00013280611,1.91666376677e-09,1.19986719389,1.90227074268e-09,0.0199685943626
85,132.855924535,1.00013285604,1.67348202853e-09,1.19986714408,1.64844265588e-09,0.0181502177069
86,132.902061738,1.0001329023,1.43929217725e-09,1.19986709794,1.41775685628e-09,0.0164147313817
87,132.941742425,1.00013294208,1.237875245e-09,1.19986705826,1.21935361279e-09,0.0148451886955
88,132.97587013,1.00013297629,1.06464493403e-09,1.19986702413,1.04871524987e-09,0.0134257224535
89,133.005221949,1.00013300572,9.15656761042e-10,1.19986699478,9.01956303366e-10,0.0121419826511
90,133.030466225,1.00013303102,7.87518240514e-10,1.19986696953,7.75735047629e-10,0.0109809914025
91,133.052177775,1.00013305279,6.77311637153e-10,1.19986694782,6.67177403818e-10,0.00993101174185
92,133.076197975,1.00013307695,5.44319654167e-10,1.1998669238,5.3214894255e-10,0.00854124956623
93,133.095356784,1.00013309621,4.34156083838e-10,1.19986690464,4.24448573895e-10,0.00734597301257
94,133.111638274,1.0001331126,3.41106942593e-10,1.19986688836,3.30975725059e-10,0.00622343327403
95,133.126011592,1.00013312711,2.52316931249e-10,1.19986687399,2.44822865946e-10,0.00509018923034
96,133.138171978,1.00013313942,1.75716845116e-10,1.19986686183,1.69217539813e-10,0.00397920390266
97,133.148183021,1.0001331496,1.10115877489e-10,1.19986685182,1.04456318517e-10,0.00288484457336
98,133.15593809,1.00013315757,5.67247754886e-11,1.19986684406,5.22111357996e-11,0.00181694328002
99,133.161213603,1.00013316313,1.81743368222e-11,1.19986683879,1.51667341793e-11,0.000796943120856
