,e,0.80,0.85,0.90,0.95
155,0.7362,-1363.17499982,-1518.40033267,-1689.24586867,-1876.63444138
156,0.741,-1379.62696917,-1536.95685668,-1709.85143312,-1900.60872478
157,0.7458,-1396.79133163,-1555.86942108,-1734.01609976,-1927.04237629
158,0.7505,-1413.31220023,-1578.204426,-1759.363456,-1955.25618464
159,0.7552,-1431.74730941,-1597.81347455,-1782.29054302,-1983.5995704
160,0.76,-1451.18512231,-1620.24381762,-1810.12032129,-2015.14554787
161,0.7647,-1470.5632463,-1643.89689733,-1837.09549394,-2045.977579
162,0.7695,-1489.92956669,-1667.01602392,-1864.97697185,-2079.60813084
163,0.7742,-1513.97875861,-1693.20926006,-1895.01261106,-2113.21628894
164,0.779,-1534.58075571,-1720.39828608,-1924.40356934,-2151.45660338
165,0.7837,-1558.76439529,-1747.24011965,-1957.66672442,-2185.51876945
166,0.7885,-1585.7929875,-1779.34787823,-1989.13741611,-2225.75321191
167,0.7933,-1610.6049845,-1807.51820436,-2026.0677879,-2267.98669914
168,0.798,-1635.32772133,-1839.15452097,-2064.42908457,-2310.85071204
169,0.8027,-1665.81751573,-1871.07257067,-2104.31891855,-2353.24170961
170,0.8075,-1695.27400081,-1911.03343691,-2153.31046017,-2401.57998492
171,0.8123,-1729.02558864,-1945.17044193,-2203.44529213,-2452.72751915
172,0.817,-1771.8389208,-2003.27053215,-2243.13888606,-2520.01450931
173,0.8217,-1809.43510684,-2038.72886569,-2290.7679249,-2571.14944514
174,0.8265,-1853.93716795,-2085.70088626,-2342.14851529,-2630.96213413
175,0.8312,-1902.0893169,-2136.38384889,-2411.10104282,-2702.95784598
176,0.836,-1944.80462183,-2202.32585632,-2462.4572878,-2781.33241111
177,0.8407,-2003.43640008,-2265.56598685,-2538.82515674,-2860.18289492
178,0.8455,-2057.18189582,-2315.87233244,-2607.107007,-2950.26532334
179,0.8502,-2120.07812078,-2398.49881975,-2682.15952891,-3016.0587984
180,0.855,-2193.82070668,-2474.54872534,-2778.31171684,-3139.24368714
181,0.8598,-2262.66189878,-2546.00007876,-2870.45481844,-3226.91251804
182,0.8645,-2346.33890714,-2633.39356952,-2957.73077673,-3343.19904143
183,0.8692,-2429.56990579,-2741.06219537,-3058.04365492,-3434.51469576
184,0.874,-2498.4641759,-2833.91068809,-3174.01597364,-3604.02429818
185,0.8788,-2598.07077007,-2940.8817447,-3341.84789058,-3715.87648402
186,0.8835,-2679.07043598,-3039.9682224,-3482.4447196,-3879.75074492
187,0.8882,-2744.6589991,-3208.49237951,-3589.61801987,-4040.54013919
188,0.893,-2836.48936608,-3312.53057201,-3743.57481553,-4244.81694702
189,0.8977,-2948.15739886,-3449.31407604,-3937.74229106,7704.10469267
190,0.9025,-3063.25368095,-3550.77409252,-4083.48470245,8178.90169443
191,0.9073,-3199.4411864,-3713.3948171,7703.83832746,8703.0666908
192,0.912,-3329.09476102,-3872.38966578,8218.89709436,9278.26863097
193,0.9167,-3481.32103418,7739.42104562,8794.16845123,9914.63571737
194,0.9215,-3647.81165895,8308.43455177,9439.1211817,10627.8321633
195,0.9263,7865.1680177,8950.0653951,10168.7567723,11407.4828368
196,0.931,8515.39858342,9717.57538124,10995.1448384,12340.1548442
197,0.9357,9260.1727873,10559.3390944,11938.4249619,13398.8172954
198,0.9405,10120.4061346,11535.2109571,13032.0500683,14616.9489881
199,0.9452,11131.1772674,12680.0931624,14315.143184,16046.1795664
