,t [yr],m acc [MSun],dm acc [MSun],m don [MSun],dm don [MSun],a [AU]
29,257.702323289,1.00024082761,2.66522449952e-07,1.19974229768,2.64520987298e-07,0.535967252964
30,260.259910488,1.0002433852,2.47170819845e-07,1.19973974009,2.45314681519e-07,0.509699091208
31,262.631796823,1.00024575708,2.29224291974e-07,1.1997373682,2.27502925794e-07,0.484718381929
32,264.83146583,1.00024795675,2.12580840297e-07,1.19973516853,2.10984460331e-07,0.460962021102
33,266.871421991,1.00024999671,1.97145847414e-07,1.19973312858,1.95665378335e-07,0.43836999814
34,268.763261828,1.00025188855,1.82831566531e-07,1.19973123674,1.81458592009e-07,0.416885244201
35,270.517739839,1.00025364303,1.69556622502e-07,1.19972948226,1.6828333735e-07,0.396453487941
36,272.144829635,1.00025527012,1.57245549116e-07,1.19972785517,1.56064714906e-07,0.37702311834
37,273.653780645,1.00025677907,1.45828359989e-07,1.19972634622,1.44733263895e-07,0.358545054263
38,275.053170701,1.00025817846,1.35240150628e-07,1.19972494683,1.34224567257e-07,0.340972620422
39,276.350954804,1.00025947624,1.25420729391e-07,1.19972364905,1.24478885389e-07,0.324261429414
40,277.554510347,1.0002606798,1.16314275256e-07,1.19972244549,1.1544081648e-07,0.308369269562
41,278.67067906,1.00026179597,1.0786902044e-07,1.19972132932,1.07058981519e-07,0.293255998238
42,279.705805902,1.00026283109,1.00036956075e-07,1.19972029419,9.92857321755e-08,0.278883440435
43,280.665775132,1.00026379106,9.2773559246e-08,1.19971933422,9.20768798957e-08,0.265215292302
44,281.556043764,1.00026468133,8.60375398684e-08,1.19971844396,8.53914446743e-08,0.25221702942
45,282.381672585,1.00026550696,7.97906059355e-08,1.19971761833,7.91914220689e-08,0.239855819566
46,283.147354926,1.00026627264,7.3997245819e-08,1.19971685265,7.34415671346e-08,0.228100439762
47,283.857443345,1.00026698273,6.86245263781e-08,1.19971614256,6.81091940491e-08,0.21692119739
48,284.515974371,1.00026764126,6.36419057289e-08,1.19971548403,6.31639902887e-08,0.206289855173
49,285.126691446,1.00026825198,5.90210596105e-08,1.19971487331,5.85778442986e-08,0.19617955984
50,285.693066209,1.00026881835,5.473572036e-08,1.19971430693,5.43246856771e-08,0.186564774278
51,286.218318233,1.0002693436,5.07615275801e-08,1.19971378168,5.03803369647e-08,0.177421213024
52,286.705433324,1.00026983072,4.7075889651e-08,1.19971329457,4.67223761962e-08,0.168725780908
53,287.157180496,1.00027028247,4.36578552983e-08,1.19971284282,4.33300094329e-08,0.160456514711
54,287.576127709,1.00027070141,4.04879944868e-08,1.19971242387,4.01839525515e-08,0.152592527683
55,287.964656475,1.00027108994,3.75482879637e-08,1.19971203534,3.72663216161e-08,0.145113956775
56,288.324975386,1.00027145026,3.48220248213e-08,1.19971167502,3.45605312107e-08,0.138001912466
57,288.659132676,1.00027178442,3.22937074992e-08,1.19971134087,3.20512001548e-08,0.131238431046
58,288.969027862,1.00027209431,2.99489636833e-08,1.19971103097,2.97240640638e-08,0.124806429233
59,289.256422542,1.00027238171,2.77744646033e-08,1.19971074358,2.75658942603e-08,0.118689661026
60,289.522950409,1.00027264824,2.57578492612e-08,1.19971047705,2.55644225717e-08,0.112872676663
61,289.770126539,1.00027289541,2.38876541633e-08,1.19971022987,2.37082715895e-08,0.107340783593
62,289.999356001,1.00027312464,2.21532481529e-08,1.19971000064,2.1986889992e-08,0.102080009368
63,290.211941847,1.00027333723,2.05447719761e-08,1.19970978806,2.03904925631e-08,0.0970770663429
64,290.409092519,1.00027353438,1.90530822347e-08,1.19970959091,1.89100045671e-08,0.0923193181159
65,290.591928716,1.00027371722,1.76696994093e-08,1.19970940807,1.75370101617e-08,0.0877947476064
66,290.761489768,1.00027388678,1.63867596567e-08,1.19970923851,1.62637045568e-08,0.0834919267016
67,290.91873954,1.00027404403,1.51969701061e-08,1.19970908126,1.50828496474e-08,0.0793999873902
68,291.064571916,1.00027418986,1.40935674025e-08,1.19970893543,1.39877328678e-08,0.0755085943102
69,291.199815876,1.0002743251,1.30702792595e-08,1.19970880018,1.29721290332e-08,0.071807918643
70,291.325240213,1.00027445053,1.2121288804e-08,1.19970867476,1.2030264952e-08,0.0682886132867
71,291.441557896,1.00027456684,1.12412015095e-08,1.19970855844,1.11567866078e-08,0.0649417892464
72,291.549430132,1.00027467472,1.04250145308e-08,1.19970845057,1.0346728724e-08,0.0617589931817
73,291.649470117,1.00027477476,9.66808826471e-09,1.19970835053,9.59548653835e-09,0.0587321860547
74,291.742246525,1.00027486753,8.96611997604e-09,1.19970825775,8.89878962684e-09,0.0558537228245
75,291.828286742,1.00027495357,8.31511933855e-09,1.19970817171,8.25267762841e-09,0.053116333137
76,291.90807986,1.00027503337,7.71138575171e-09,1.19970809192,7.65347773198e-09,0.0505131029608
77,291.982079461,1.00027510737,7.15148730447e-09,1.19970801792,7.09778379824e-09,0.0480374571237
78,292.050706194,1.00027517599,6.63224126644e-09,1.19970794929,6.58243699738e-09,0.0456831427051
79,292.114350165,1.00027523964,6.15069599564e-09,1.19970788565,6.10450785255e-09,0.0434442132417
80,292.173373156,1.00027529866,5.70411415971e-09,1.19970782663,5.66127958727e-09,0.0413150137081
81,292.228110682,1.0002753534,5.2899571756e-09,1.19970777189,5.25023268178e-09,0.0392901662331
82,292.278873895,1.00027540416,4.90587077889e-09,1.19970772113,4.86903055088e-09,0.0373645565161
83,292.325951359,1.00027545124,4.54967164096e-09,1.19970767405,4.51550626151e-09,0.0355333209098
84,292.369610683,1.0002754949,4.21933495786e-09,1.19970763039,4.18765021485e-09,0.0337918341347
85,292.410100048,1.00027553539,3.91298294028e-09,1.1997075899,3.88359872272e-09,0.0321356975975
86,292.447649613,1.00027557294,3.62887413928e-09,1.19970755235,3.60162341347e-09,0.0305607282804
87,292.482472828,1.00027560776,3.365393547e-09,1.19970751753,3.34012140703e-09,0.029062948176
88,292.514767643,1.00027564005,3.1210434162e-09,1.19970748523,3.09760620337e-09,0.0276385742395
89,292.544717639,1.00027567,2.89443474625e-09,1.19970745528,2.87269923248e-09,0.0262840088335
90,292.572493065,1.00027569778,2.68427938746e-09,1.19970742751,2.66412201792e-09,0.0249958306414
91,292.598251808,1.00027572354,2.48938271854e-09,1.19970740175,2.47068890932e-09,0.0237707860254
92,292.622140294,1.00027574743,2.3086368558e-09,1.19970737786,2.29130034258e-09,0.022605780809
